## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| - | Allan Campbell | Gelandang Tengah | 25 | Scotland | St. Mirren FC | €2.00m |
| 8 | Luke Berry | Gelandang Tengah | 31 | England | Tanpa Klub | €400k |
| 28 | Elliot Thorpe | Gelandang Tengah | 23 | Wales/Malaysia | Braintree Town | €200k |
| - | Axel Piesold | Gelandang Tengah | 19 | England | Galway United FC | €150k |
| - | Jake Burger | Gelandang Tengah | 19 | England | Tanpa Klub | - |
| - | Jayden Luker | Gelandang Tengah | 19 | England | Luton Town U21 | - |
| 32 | Fred Onyedinma | Gelandang Kanan | 27 | Nigeria/England | Wycombe Wanderers | €500k |
| 45 | Alfie Doughty | Gelandang Kiri | 24 | England | Millwall FC | €10.00m |
| 14 | Tahith Chong | Gelandang Serang | 24 | Curacao/Netherlands | Sheffield United | €6.00m |
| 18 | Jordan Clark | Gelandang Serang | 30 | England | Luton Town | €1.00m |
| - | Louie Watson | Gelandang Serang | 23 | Ireland/England | Crawley Town | €250k |
| - | Zack Nelson | Gelandang Serang | 19 | England | AFC Wimbledon | €100k |
| - | Dion Pereira | Sayap Kiri | 25 | Antigua/England | Crawley Town | €175k |
| 7 | Chiedozie Ogbene | Sayap Kanan | 27 | Ireland/Nigeria | Ipswich Town | €8.00m |
| 30 | Andros Townsend | Sayap Kanan | 32 | England | PT Prachuap FC | €1.80m |
| - | John McAtee | Second Striker | 24 | England | Bolton Wanderers | €300k |
| 9 | Carlton Morris | Penyerang Tengah | 28 | England | Derby County | €13.00m |
| 11 | Elijah Adebayo | Penyerang Tengah | 26 | England/Nigeria | Bristol City | €12.00m |
| 19 | Jacob Brown | Penyerang Tengah | 26 | Scotland/England | Reading FC | €4.00m |
| 10 | Cauley Woodrow | Penyerang Tengah | 29 | England | Wycombe Wanderers | €1.00m |
| - | Joe Taylor | Penyerang Tengah | 21 | Wales/England | Huddersfield Town | €350k |
| - | Admiral Muskwe | Penyerang Tengah | 25 | Zimbabwe/England | Wealdstone FC | €275k |
| - | Taylan Harris | Penyerang Tengah | 18 | England/Türkiye | Woking FC | - |

## Nottingham Forest — Musim 22/23

